id, author, title, view, fav, score
1,zagayevskiy,Как я писал Pacman’a и что из этого получилось. Часть 2,32730,179,92
2,Scogun,Пишем свой Orm под Android с канастой и сеньоритами comma  Часть 2-ая,3935,23,5
3,litweg, Основы тонкого выделения томов на системах хранения (или юбилей 3PAR thin provisioning), 3223,12,4
4,mkolenchukova,Игра на Construct 2. Часть 2,10854,60,3
5,deathwalker,Установка Nexus 1000V на vSphere 5.1 (Часть вторая),7166,33,5
6,nefelim4ag,Часть 2: Туннельная магия comma  NetDB и «жонглирование» протоколами,10152,57,8
7,AveNat,λ-исчисление. Часть вторая: практика,8323,184,27
8,s0rr0w,StateController. Событийная модель в разработке интерфейсов. Часть 2,6487,60,3
9,MissUFO,Разработка Windows 8.1 приложений на XAML/С#. Часть 2. Работа с плитками,9086,175,21
10,lozga,Незаметные сложности ракетной техники. Часть 2: Твердотопливные двигатели,64463,251,197
11,Thekondr,Обзор новых возможностей С++14: Часть 2,23844,137,45
12,shifttstas,Osiris: Децентрализованный форум (Часть 2),10155,71,21
13,GlukKazan,Приручаем ZoG (Часть 2: Бац!),9904,83,29
14,Storchak,Взаимодействие сканеров уязвимостей с Metasploit. Часть 2,4642,177,19
15,prof1983,КрияДеньги. Часть 2. Идея,4415,26,1
16,rrromka,Пример разработки блога на Zend Framework 2. Часть 2. Модуль MyBlog,14283,134,15
17,vadim_ig,Маскируем класс под граф Boost. Часть 2: Завершаем реализацию поддержки концепций,2098,69,15
18,AlanDenton,План обслуживания «на каждый день» – Часть 2: Автоматическое обновление статистики,3554,47,4
19,demist,Поиск гамильтонова цикла в большом графе (задача коммивояжера).Часть 2,10370,85,14
20,alfatapok,Программируем в Microsoft Robotics Developer Studio. Часть 2 comma  взаимодействие с микрокомпьютером NXT,3535,27,1
21,evgeniyup,ObjectScript API comma  интеграция с C++. Часть 2: выполнение скрипта на OS из C++,3462,47,12
22,Hamakev,Aruba Networks — Часть 2: Построение безопасной беспроводной инфраструктуры,8716,66,5
